       clangO0;         234.375;           0.229;           0.000;        100;         50;     3018967.220;     3091485.780;     3027685.693;       20449.482 ( 0.675 %);     25.199
       clangO1;         234.375;           0.229;           0.000;        100;         50;      512755.860;      513173.320;      512876.978;          74.033 ( 0.014 %);    148.757
       clangO2;         234.375;           0.229;           0.000;        100;         50;      270884.480;      342900.900;      274123.653;       12362.587 ( 4.510 %);    278.319
       clangO3;         234.375;           0.229;           0.000;        100;         50;      271785.060;      343782.460;      274605.959;       12419.107 ( 4.523 %);    277.831
       clangOfast;         234.375;           0.229;           0.000;        100;         50;      272123.720;      272813.080;      272731.907;         112.811 ( 0.041 %);    279.740
       gccO0;         234.375;           0.229;           0.000;        100;         50;     3748183.840;     3823390.560;     3758446.081;       20573.067 ( 0.547 %);     20.299
       gccO1;         234.375;           0.229;           0.000;        100;         50;      667411.760;      738459.560;      669687.182;       12346.061 ( 1.844 %);    113.925
       gccO2;         234.375;           0.229;           0.000;        100;         50;      647194.720;      648245.380;      647281.916;         182.643 ( 0.028 %);    117.868
       gccO3;         234.375;           0.229;           0.000;        100;         50;      209798.280;      210402.740;      209898.069;         124.077 ( 0.059 %);    363.481
       gccOfast;         234.375;           0.229;           0.000;        100;         50;      304105.320;      304236.720;      304143.715;          24.950 ( 0.008 %);    250.848
